,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
26,Barker Geoffrey T,Dir,S - Sale,SMAR,$74.04,"-13,500","-$999,477","384,599",-3%,2021-02-05 19:56:22,2021-02-04
27,Garcia Ernest C. II,10%,S - Sale+OE,CVNA,$290.83,-100,"-$29,083","78,651,059",0%,2021-02-05 19:55:39,2021-02-04
28,Mader Mark Patrick,"Pres, CEO",S - Sale,SMAR,$72.31,"-40,000","-$2,892,365","562,767",-7%,2021-02-05 19:54:36,2021-02-04
29,Garcia Ernest C. II,10%,S - Sale+OE,CVNA,$284.44,"-49,900","-$14,193,476","78,651,159",0%,2021-02-05 19:53:31,2021-02-04
30,Garcia Ernest C. II,10%,S - Sale+OE,CVNA,$287.39,"-11,142","-$3,202,121","78,701,059",0%,2021-02-05 19:51:06,2021-02-03
31,Garcia Ernest C. II,10%,S - Sale+OE,CVNA,$280.40,"-38,858","-$10,895,856","78,712,201",0%,2021-02-05 19:49:23,2021-02-03
32,Presidio Management Group VII L L C,10%,P - Purchase,ONTF,$50.00,"+5,000","+$250,000","7,680,423",0%,2021-02-05 19:45:45,2021-02-05
33,Kushel J. Richard,Senior MD,S - Sale,BLK,$727.14,"-6,055","-$4,402,818","152,918",-4%,2021-02-05 19:45:13,2021-02-05
34,Jagiela Mark E,"Pres, CEO",S - Sale,TER,$123.71,"-57,941","-$7,167,962","269,230",-18%,2021-02-05 19:44:40,2021-02-04
35,Shedlin Gary,"CFO, Senior MD",S - Sale,BLK,$730.41,"-3,206","-$2,341,706","13,163",-20%,2021-02-05 19:42:13,2021-02-05
36,Hansen Carrie E.,"EVP, COO",S - Sale,AMK,$24.94,"-29,816","-$743,611","185,149",-14%,2021-02-05 19:41:30,2021-02-05
37,Zyla Gary G.,"EVP, CFO",S - Sale,AMK,$25.02,"-35,034","-$876,551","130,497",-21%,2021-02-05 19:39:45,2021-02-05
38,Fisher Heath A,Pres,S - Sale+OE,PLMR,$109.96,"-12,500","-$1,374,539","245,198",-5%,2021-02-05 19:32:36,2021-02-03
39,Christianson Jon,Chief Underwriting Officer,S - Sale,PLMR,$110.03,"-1,500","-$165,039","108,468",-1%,2021-02-05 19:32:21,2021-02-03
40,Sharan Sharat,"Pres, CEO",S - Sale+OE,ONTF,$50.00,"-147,453","-$7,372,650","2,002,172",-7%,2021-02-05 19:22:36,2021-02-05
41,Maag Peter,Exec Chair,S - Sale+OE,CDNA,$89.82,"-10,000","-$898,190","414,800",-2%,2021-02-05 19:21:37,2021-02-05
42,Rettig John R.,CFO,S - Sale+OE,BILL,$134.08,"-15,000","-$2,011,143","60,000",-20%,2021-02-05 19:05:24,2021-02-03
43,Garner Curtis E,CTO,S - Sale+OE,CMG,"$1,488.04","-19,561","-$29,107,643","2,679",-88%,2021-02-05 19:03:51,2021-02-04
44,Lee Carter Paul,Chief Administrative Officer,S - Sale+OE,OSTK,$85.68,"-3,267","-$279,917","12,076",-21%,2021-02-05 19:02:35,2021-02-03
45,Boatwright Scott,Chief Restaurant Officer,S - Sale+OE,CMG,"$1,497.75","-5,822","-$8,719,890","2,197",-73%,2021-02-05 19:01:27,2021-02-04
46,Singh Amit K.,Pres,S - Sale,PANW,$379.69,"-1,378","-$523,209","126,032",-1%,2021-02-05 18:59:14,2021-02-04
47,Beetham Thomas W.,"EVP, GC",S - Sale+OE,KNSA,$22.09,"-2,477","-$54,717","297,523",-1%,2021-02-05 18:55:16,2021-02-03
48,Winslow Daniel B.,"EVP, CLO, Corp. Sec.",S - Sale+OE,RMNI,$8.00,"-20,000","-$160,093","19,363",-51%,2021-02-05 18:54:55,2021-02-03
49,Mansueto Joseph D,"Exec COB, 10%",S - Sale,MORN,$242.00,"-10,056","-$2,433,528","19,265,527",0%,2021-02-05 18:53:09,2021-02-03
50,Solomon Peter J,Dir,S - Sale+OE,MNRO,$61.84,"-35,000","-$2,164,347","1,492,923",-2%,2021-02-05 18:52:47,2021-02-04
51,Wagner John Brandon,"CFO, Treasurer",S - Sale+OE,EVER,$47.74,"-10,510","-$501,700","197,645",-5%,2021-02-05 18:51:15,2021-02-04
52,Denuccio Kevin A,Dir,S - Sale,CALX,$31.81,"-97,500","-$3,101,490","126,477",-44%,2021-02-05 18:49:44,2021-02-03
53,Hoag Jay C,Dir,S - Sale,NFLX,$548.93,-974,"-$534,661","2,593,134",0%,2021-02-05 18:48:48,2021-02-05
54,Wallace Richard P,"Pres, CEO",S - Sale,KLAC,$301.60,"-4,216","-$1,271,546","297,491",-1%,2021-02-05 18:48:14,2021-02-03
55,Dugan Regina E,Dir,S - Sale,ZNGA,$10.27,"-8,950","-$91,917","217,319",-4%,2021-02-05 18:48:13,2021-02-04
56,Obstler David M,CFO,S - Sale,DDOG,$111.60,"-23,700","-$2,644,986","264,635",-8%,2021-02-05 18:40:29,2021-02-03
57,Weil Edward M Jr.,"CEO, Pres, Secretary",P - Purchase,NYC,$10.01,+300,"+$3,002","8,779",+4%,2021-02-05 18:27:47,2021-02-04
58,Sutherland Ben,VP of Sales,S - Sale,POWI,$86.25,"-1,579","-$136,195","60,589",-3%,2021-02-05 18:27:41,2021-02-03
59,Bailey Doug,VP Marketing,S - Sale,POWI,$81.75,"-1,477","-$120,745","122,850",-1%,2021-02-05 18:27:26,2021-02-03
60,Matthews David Mh,VP of Product Development,S - Sale,POWI,$81.61,"-1,649","-$134,567","111,378",-1%,2021-02-05 18:27:12,2021-02-03
61,Nayyar Sandeep,CFO,S - Sale,POWI,$81.86,"-2,046","-$167,478","79,609",-3%,2021-02-05 18:26:58,2021-02-03
62,Walker Clifford,VP Corporate Development,S - Sale,POWI,$81.49,"-1,503","-$122,487","128,808",-1%,2021-02-05 18:26:44,2021-02-03
63,Balakrishnan Balu,"Pres, CEO",S - Sale,POWI,$81.26,"-13,017","-$1,057,797","522,294",-2%,2021-02-05 18:26:32,2021-02-03
64,Barsan Radu,"VP of Technology, Engineering",S - Sale,POWI,$83.92,"-4,500","-$377,642","66,105",-6%,2021-02-05 18:26:11,2021-02-03
65,Wicklow Capital Inc.,10%,S - Sale,MMNFF,$0.24,"-949,280","-$224,809","57,243,412",-2%,2021-02-05 18:23:24,2021-02-03
66,Valeriani Nicholas J,Dir,S - Sale+OE,EW,$85.21,"-8,200","-$698,752","59,696",-12%,2021-02-05 18:21:08,2021-02-04
67,Williams Chad L.,CEO,S - Sale+OE,QTS,$67.00,-100,"-$6,700","162,252",0%,2021-02-05 18:10:13,2021-02-03
68,Brown Troy R.,Pres North America,S - Sale+OE,ZUMZ,$46.24,"-20,834","-$963,364","80,317",-21%,2021-02-05 18:08:50,2021-02-04
69,Rubinstein Julie,Pres,S - Sale+OE,ADPT,$59.37,"-30,000","-$1,781,100",0,-100%,2021-02-05 18:00:23,2021-02-03
70,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,ADPT,$59.58,"-7,790","-$464,158",679,-92%,2021-02-05 18:00:22,2021-02-03
71,McKasson Craig S.,"CAO, CFO",S - Sale,PINC,$35.11,"-5,000","-$175,550","133,563",-4%,2021-02-05 17:59:17,2021-02-04
72,Olson Rollance E.,Dir,S - Sale,FN,$86.33,"-7,000","-$604,298","41,474",-14%,2021-02-05 17:58:45,2021-02-04
73,Archer Edward T.,"EVP, Sales, Marketing",S - Sale,FN,$86.85,"-2,260","-$196,274","26,211",-8%,2021-02-05 17:58:08,2021-02-04
74,Jones James Nathan,CEO of subsidiary ShipStation,S - Sale+OE,STMP,$240.00,"-2,093","-$502,320",636,-77%,2021-02-05 17:55:46,2021-02-03
75,Buerba Sebastian,CMO,S - Sale+OE,STMP,$238.25,"-2,511","-$598,257",0,-100%,2021-02-05 17:55:23,2021-02-03
76,Jensen Christopher L,EVP HR,S - Sale,NXPI,$183.03,"-1,900","-$347,758","1,211",-61%,2021-02-05 17:55:10,2021-02-05
77,Tennenbaum Ross,See Remarks,S - Sale+OE,AVLR,$164.49,-926,"-$152,318","79,853",-1%,2021-02-05 17:54:53,2021-02-04
78,Williams Robin Traywick,Dir,P - Purchase,ESXB,$7.24,"+3,000","+$21,715","80,623",+4%,2021-02-05 17:46:19,2021-02-03
79,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,TXN,$171.96,"-27,665","-$4,757,258","82,135",-25%,2021-02-05 17:46:14,2021-02-03
80,Canaan VIII LP,10%,S - Sale,LOV,$6.22,"-30,000","-$186,681","3,498,489",-1%,2021-02-05 17:37:26,2021-02-03
81,Realty Advisors Inc,10%,S - Sale,GBR,$6.91,"-50,000","-$345,500","2,790,000",-2%,2021-02-05 17:33:51,2021-02-04
82,Prashad R Chad,"Pres, CEO",S - Sale,WRLD,$130.11,"-7,106","-$924,586","79,234",-8%,2021-02-05 17:32:48,2021-02-03
83,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale+OE,TXN,$170.92,"-12,890","-$2,203,114","41,263",-24%,2021-02-05 17:30:48,2021-02-04
84,"Ggc Opportunity Fund Management Gp, Ltd.",10%,S - Sale,CNR,$10.63,"-4,250,000","-$45,177,500","2,289,937",-65%,2021-02-05 17:28:55,2021-02-03
85,Crockett Todd,Dir,S - Sale+OE,ZI,$54.03,"-1,734,233","-$93,707,026",0,-100%,2021-02-05 17:27:21,2021-02-03
86,Realty Advisors Inc,10%,S - Sale,GBR,$7.29,"-60,000","-$437,500","2,840,000",-2%,2021-02-05 17:26:21,2021-02-03
87,Sanchez Robert,"Pres, CEO, O, R",P - Purchase,ED,$70.78,+33,"+$2,311","4,356",+1%,2021-02-05 17:25:34,2021-01-31
88,Mironov Jason,Dir,S - Sale+OE,ZI,$54.03,"-1,734,233","-$93,707,026",0,-100%,2021-02-05 17:25:18,2021-02-03
89,Mango Lisa A,"GC, Secretary",S - Sale+OE,ONEM,$53.78,"-8,332","-$448,134","39,101",-18%,2021-02-05 17:24:53,2021-02-03
90,Nachmias Stuart,"Pres, CEO CET",P - Purchase,ED,$70.78,+9,+$667,"1,078",+1%,2021-02-05 17:24:46,2021-01-31
91,Lockhart Kimber D,CTO,S - Sale+OE,ONEM,$53.79,"-30,000","-$1,613,700","70,434",-30%,2021-02-05 17:24:35,2021-02-03
92,Ta Atlantic & Pacific Vii-B L.P.,"Dir, 10%",S - Sale+OE,ZI,$54.03,"-1,734,233","-$93,707,026",0,-100%,2021-02-05 17:24:10,2021-02-03
93,Eddy Robert W.,"EVP, Chief Fin., Admin. Office",S - Sale,BJ,$42.42,"-21,218","-$899,989","272,624",-7%,2021-02-05 17:23:59,2021-02-03
94,Nadkarni Gurudatta D,"VP, Strategic Planning",P - Purchase,ED,$70.78,+29,"+$2,079","7,921",0%,2021-02-05 17:23:42,2021-01-31
95,Smith G Stacy,Dir,S - Sale,IBTX,$67.42,"-13,000","-$876,460","70,217",-16%,2021-02-05 17:23:32,2021-02-04
96,"Ta Associates, L.P.","Dir, 10%",S - Sale+OE,ZI,$54.03,"-1,734,233","-$93,707,026",0,-100%,2021-02-05 17:23:12,2021-02-03
97,Miller Joseph,"VP, Controller",P - Purchase,ED,$70.78,+3,+$222,"1,010",0%,2021-02-05 17:22:21,2021-01-31
98,Ketschke Matthew,Pres CECONY,P - Purchase,ED,$70.78,+2,+$111,"1,487",0%,2021-02-05 17:20:52,2021-01-31
99,Fogassa Marc,"Dir, 10%",S - Sale,BMIX,$0.04,"-10,000,000","-$403,600","284,718,354",-3%,2021-02-05 17:20:06,2021-02-02
100,"Ggc Opportunity Fund Management Gp, Ltd.",10%,S - Sale,CNR,$10.63,"-4,250,000","-$45,177,500","2,289,937",-65%,2021-02-05 17:17:32,2021-02-03
101,Mathradas Amit,See Remarks,S - Sale+OE,AVLR,$164.49,-785,"-$129,125","109,805",-1%,2021-02-05 17:16:43,2021-02-04
102,Walker David F,Dir,S - Sale+OE,CVLT,$65.00,"-7,500","-$487,500","53,457",-12%,2021-02-05 17:16:15,2021-02-03
103,Hoglund Robert N,"SVP, CFO",P - Purchase,ED,$70.78,+33,"+$2,315","42,482",0%,2021-02-05 17:14:19,2021-01-31
104,Payson Norman,Dir,S - Sale,PGNY,$48.43,"-10,000","-$484,255","1,110,939",-1%,2021-02-05 17:13:55,2021-02-03
105,Trombetta Giandomenico,"Dir, 10%",S - Sale,MLSS,$3.08,"-37,780","-$116,256","9,941,039",0%,2021-02-05 17:13:36,2021-02-03
106,Donnley Deneen L,"SVP, GC",P - Purchase,ED,$70.78,+33,"+$2,313",659,+5%,2021-02-05 17:13:21,2021-01-31
107,Popat Dinesh,"Pres, BloomNet, Inc.",S - Sale,FLWS,$30.98,-507,"-$15,707","15,023",-3%,2021-02-05 17:13:05,2021-02-05
108,Anevski Peter,"Pres, COO",S - Sale,PGNY,$49.04,"-21,000","-$1,029,793","835,079",-2%,2021-02-05 17:12:54,2021-02-04
109,Gabelli Mario J,"COB, CEO, 10%",S - Sale,GBL,$19.55,-500,"-$9,775","21,542,608",0%,2021-02-05 17:12:14,2021-02-04
110,Frank Thomas Aj,CIO,S - Sale,IBKR,$68.82,"-66,909","-$4,604,874","1,189,340",-5%,2021-02-05 17:10:59,2021-02-03
111,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,IPAR,$64.03,"-2,400","-$153,663",0,-100%,2021-02-05 17:10:58,2021-02-03
112,Cawley Timothy,"Dir, Pres, CEO",P - Purchase,ED,$70.78,+33,"+$2,316","16,327",0%,2021-02-05 17:10:52,2021-01-31
113,Miller Jeffrey George,CEO,S - Sale,SNCR,$4.74,"-2,701","-$12,803","151,254",-2%,2021-02-05 17:10:28,2021-02-03
114,De La Bastide Lore,"SVP, Utility Shared Services",P - Purchase,ED,$70.78,+5,+$333,901,+1%,2021-02-05 17:08:58,2021-01-31
115,Brody Paul Jonathan,CFO,S - Sale,IBKR,$68.82,"-1,867","-$128,486","721,611",0%,2021-02-05 17:08:27,2021-02-03
116,Reidler Michael,CFO,P - Purchase,JWSM,$10.00,"+100,000","+$1,000,000","100,000",New,2021-02-05 17:08:21,2021-02-04
117,Helfand David,Dir,P - Purchase,JWSM,$10.00,"+100,000","+$1,000,000","100,000",New,2021-02-05 17:07:02,2021-02-04
118,Meegan John P,Dir,S - Sale+OE,NWBI,$13.38,"-15,000","-$200,664","82,050",-15%,2021-02-05 17:05:07,2021-02-04
119,Berkman Charles S,"SVP, Gen. Counsel, Secretary",S - Sale+OE,LGND,$178.50,"-18,097","-$3,230,376","28,906",-39%,2021-02-05 17:03:35,2021-02-04
120,Talasaz Amirali,"COB, Pres, COO",S - Sale,GH,$158.73,"-142,400","-$22,603,341","2,949,913",-5%,2021-02-05 17:03:20,2021-02-03
121,Foehr Matthew W,"Pres, COO",S - Sale+OE,LGND,$176.86,"-44,547","-$7,878,582","168,198",-21%,2021-02-05 17:03:12,2021-02-04
122,Kaplan Seth L.,"SVP, Gen. Counsel, Secy",S - Sale,GFF,$24.02,"-40,897","-$982,240","219,569",-16%,2021-02-05 17:03:09,2021-02-03
123,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,TEL,$127.75,"-70,250","-$8,974,171","94,969",-43%,2021-02-05 17:02:29,2021-02-04
124,Dennison Ann M,"Controller, Prin Acctg Ofcr",S - Sale,NDAQ,$141.44,"-2,034","-$287,689","11,749",-15%,2021-02-05 17:02:05,2021-02-03
125,Peterson Bradley J,EVP,S - Sale,NDAQ,$141.94,"-6,773","-$961,360","17,589",-28%,2021-02-05 17:01:10,2021-02-03
126,Hanna Mark Christopher,President & CEO,P - Purchase,FMBM,$26.50,+100,"+$2,650","6,557",+2%,2021-02-05 16:58:59,2021-02-05
127,Jezewski Michael L,Dir,P - Purchase,FKYS,$20.60,+191,"+$3,935","29,406",+1%,2021-02-05 16:58:32,2021-02-04
128,Waterhouse Kevin C,Dir,P - Purchase,ESQ,$22.15,"+1,108","+$24,537","135,000",+1%,2021-02-05 16:55:45,2021-02-04
129,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,UMPQ,$16.07,-463,"-$7,440","92,955",0%,2021-02-05 16:55:21,2021-02-05
130,Feinberg Larry N,* See Remarks,S - Sale,MOTS,$1.90,"-59,115","-$112,417","3,641,666",-2%,2021-02-05 16:54:25,2021-01-26
131,Parini Michael,"EVP, Chief Adm, Leg, BD Off",S - Sale+OE,VRTX,$216.56,-400,"-$86,624","57,227",-1%,2021-02-05 16:52:16,2021-02-03
132,Meelia Richard J,Dir,S - Sale+OE,HAE,$134.64,"-10,353","-$1,393,928","32,050",-24%,2021-02-05 16:51:36,2021-02-04
133,Walkey Carl,SVP,S - Sale,NLTX,$13.23,"-2,400","-$31,752","1,383,562",0%,2021-02-05 16:51:16,2021-02-03
134,Graham Ian,"SVP, Global Sales, Video Svcs",S - Sale,HLIT,$7.66,"-7,834","-$60,037","66,142",-11%,2021-02-05 16:51:11,2021-02-03
135,Peltz Nelson,Dir,S - Sale,PG,$128.71,"-408,880","-$52,626,045","9,414,844",-4%,2021-02-05 16:50:12,2021-02-03
136,Bingham H Raymond,Dir,S - Sale,TNET,$77.85,-830,"-$64,615","111,903",-1%,2021-02-05 16:48:18,2021-02-03
137,Dockendorff Charles J,Dir,S - Sale+OE,HAE,$134.53,"-12,180","-$1,638,575","22,323",-35%,2021-02-05 16:46:30,2021-02-04
138,Macleod Christopher Ross,Dir,S - Sale,ZOM,$1.10,"-6,400","-$7,047",0,-100%,2021-02-05 16:45:26,2021-02-03
139,Schuth Alexander O.,"COO, Secretary",S - Sale,DNLI,$67.84,"-10,000","-$678,361","545,248",-2%,2021-02-05 16:44:53,2021-02-04
140,Wedbush Securities Inc,10%,P - Purchase,JMP,$4.23,+30,+$127,"2,018,781",0%,2021-02-05 16:44:00,2021-02-03
141,Arbuckle Stuart A,"EVP, Chief Commercial Officer",S - Sale+OE,VRTX,$213.74,"-1,554","-$332,146","70,097",-2%,2021-02-05 16:43:57,2021-02-03
142,Smith Graham,Dir,S - Sale+OE,BL,$140.43,"-8,000","-$1,123,409","8,859",-47%,2021-02-05 16:43:03,2021-02-04
143,Bazemore Robert B,"Pres, CEO",S - Sale,EPZM,$11.21,"-3,890","-$43,607","331,977",-1%,2021-02-05 16:41:34,2021-02-04
144,Ellmer Gary,Dir,S - Sale,ALGT,$220.10,-450,"-$99,045","1,715",-21%,2021-02-05 16:41:24,2021-02-05
145,Agarwal Shefali,Chief Medical Officer,S - Sale,EPZM,$11.21,-969,"-$10,862","104,341",-1%,2021-02-05 16:41:05,2021-02-04
146,Tombesi Paolo,CFO,S - Sale,EPZM,$11.21,"-1,021","-$11,445","53,465",-2%,2021-02-05 16:40:56,2021-02-04
147,Beaulieu Joseph,Corporate Controller,S - Sale,EPZM,$11.21,-227,"-$2,545","13,431",-2%,2021-02-05 16:40:09,2021-02-04
148,Koss John C Jr,"VP - Sales, 10%",S - Sale,KOSS,$24.96,"-15,000","-$374,400","2,144,387",-1%,2021-02-05 16:39:24,2021-02-03
149,Grau Michael,CFO,S - Sale,ATUS,$36.15,"-40,000","-$1,446,000","163,852",-20%,2021-02-05 16:37:58,2021-01-20
150,Burik Jeffrey M.,SVP,S - Sale,CBSH,$69.00,"-2,253","-$155,457","11,821",-16%,2021-02-05 16:37:55,2021-02-04
151,Carter John C,Dir,S - Sale,CRUS,$89.97,-625,"-$56,231","14,406",-4%,2021-02-05 16:37:50,2021-02-03
152,Badgley Rick,"EVP, Chief Admin Officer",S - Sale+OE,EAT,$65.00,-544,"-$35,360","26,122",-2%,2021-02-05 16:37:40,2021-02-04
153,Marvin Linda A,Dir,S - Sale,ALGT,$214.52,"-1,000","-$214,520","7,000",-13%,2021-02-05 16:37:38,2021-02-05
154,Koss Michael J,"Pres, CEO, 10%",S - Sale,KOSS,$26.67,"-36,000","-$960,030","3,779,754",-1%,2021-02-05 16:37:08,2021-02-03
155,Goldstein Dan,"VP, Corporate Controller",S - Sale+OE,HAE,$135.86,"-2,671","-$362,888","1,511",-64%,2021-02-05 16:36:55,2021-02-04
156,Maass Brian W,"EVP, CFO",S - Sale,TCF,$41.62,"-21,320","-$887,283","104,953",-17%,2021-02-05 16:36:42,2021-02-04
157,Ros Matthew,See Remarks,S - Sale,EPZM,$11.21,-894,"-$10,022","83,188",-1%,2021-02-05 16:36:32,2021-02-04
158,Comings Douglas N.,"SVP, Co-COO, Chili's",S - Sale,EAT,$64.73,"-1,000","-$64,730","25,477",-4%,2021-02-05 16:36:24,2021-02-04
159,Solk Steve,"Pres, Consumer Banking",S - Sale,CIT,$41.23,"-11,000","-$453,483","33,092",-25%,2021-02-05 16:35:58,2021-02-04
160,Barth Kevin G,EVP,S - Sale,CBSH,$70.00,"-5,396","-$377,720","120,378",-4%,2021-02-05 16:35:45,2021-02-04
161,Lober Ralph J II,"CEO, Pres",P - Purchase,CBKM,$19.74,+200,"+$3,948","35,265",+1%,2021-02-05 16:34:40,2021-02-05
162,Anderson Gregory Clark,"EVP, CFO",S - Sale,ALGT,$216.11,"-3,270","-$706,680","29,795",-10%,2021-02-05 16:34:35,2021-02-05
163,Garavaglia Mariana,Chief Bus. Operations Officer,S - Sale+OE,PTON,$147.38,"-5,208","-$767,576","2,856",-65%,2021-02-05 16:33:31,2021-02-03
164,Vakiener Victoria,Chief Commercial Officer,S - Sale,EPZM,$11.21,-817,"-$9,159","52,685",-2%,2021-02-05 16:32:30,2021-02-04
165,Bancel Stephane,CEO,S - Sale,MRNA,$161.73,"-19,000","-$3,072,790","23,256,918",0%,2021-02-05 16:32:24,2021-02-03
166,Dold Christopher,Chief Zoological Officer,S - Sale,SEAS,$33.00,"-2,000","-$66,000","127,715",-2%,2021-02-05 16:31:33,2021-02-04
167,Gagnon Neil,10%,P - Purchase,APEN,$4.52,"+38,117","+$172,424","1,750,363",+2%,2021-02-05 16:31:15,2021-02-03
168,Stern Adam K,Dir,P - Purchase,DRIO,$0.00,+619,+$0,"84,272",+1%,2021-02-05 16:29:38,2021-02-03
169,Quinly Tom P,"VP, COO",S - Sale+OE,CW,$113.34,"-1,477","-$167,403","38,869",-4%,2021-02-05 16:29:02,2021-02-05
170,Kiko Richard T Jr,Dir,P - Purchase,CBKM,$19.74,+911,"+$17,983","4,638",+24%,2021-02-05 16:28:53,2021-02-05
171,Jakubowitz Harry,"VP, Treasurer",S - Sale+OE,CW,$113.35,-297,"-$33,665","22,029",-1%,2021-02-05 16:28:44,2021-02-05
172,Farkas K Christopher,"VP, CFO",S - Sale+OE,CW,$113.37,-477,"-$54,077","4,378",-10%,2021-02-05 16:28:27,2021-02-05
173,Peraino Vito C,"SVP, GC",P - Purchase,AFG,$96.39,"+2,500","+$240,975","97,447",+3%,2021-02-05 16:27:04,2021-02-05
174,Adams David Charles,Exec COB,S - Sale+OE,CW,$113.35,"-4,005","-$453,967","60,065",-6%,2021-02-05 16:27:03,2021-02-05
175,Pelletier Johonna Marie,"Treasurer, VP, Tax",S - Sale+OE,CNMD,$116.10,"-5,000","-$580,483","3,881",-56%,2021-02-05 16:25:12,2021-02-04
176,Drake Fred L,"COB, CEO, 10%",P - Purchase,HBT,$15.20,"+2,770","+$42,104","17,315,170",0%,2021-02-05 16:23:54,2021-02-04
177,Frantz John R,"CEO, Pres",S - Sale,NXGN,$19.81,"-25,000","-$495,348","463,328",-5%,2021-02-05 16:23:52,2021-02-04
178,Kelly Martin,CFO,S - Sale,APO,$50.07,"-7,200","-$360,510","279,498",-3%,2021-02-05 16:23:24,2021-02-03
